utc,commit,env,board,app,mode,split,metric,value
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,gcstress,none,holdout,passed,1
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,gcstress,none,holdout,wall_us,9406
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,inherit,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,interfacedemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,lambdademo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,listdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,mathsdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,stringdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,threaddemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,trywithresourcesdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_array_operations_ms,128
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_control_flow_ms,39
